benchmark,machine,throughput_mibs,timestamp,commit
wikipedia/word break,c4a-standard-8-lssd,358.52,2026-06-01T22:28:00Z,f64ad8d
wikipedia/word break + word_like,c4a-standard-8-lssd,331.92,2026-06-01T22:28:00Z,f64ad8d
wikipedia/sentence break,c4a-standard-8-lssd,325.89,2026-06-01T22:28:00Z,f64ad8d
analysis/tokenize only (case sensitive),c4a-standard-8-lssd,235.23,2026-06-01T22:28:00Z,f64ad8d
analysis/+ lowercase,c4a-standard-8-lssd,192.75,2026-06-01T22:28:00Z,f64ad8d
analysis/+ stopword removal (English),c4a-standard-8-lssd,124.16,2026-06-01T22:28:00Z,f64ad8d
analysis/+ stemming (English),c4a-standard-8-lssd,80.57,2026-06-01T22:28:00Z,f64ad8d
analysis/full (max length + stopwords + stemming + ASCII fold),c4a-standard-8-lssd,64.8,2026-06-01T22:28:00Z,f64ad8d
wikipedia/word break,c4-standard-8-lssd,306.41,2026-06-01T22:28:00Z,f64ad8d
wikipedia/word break + word_like,c4-standard-8-lssd,299.0,2026-06-01T22:28:00Z,f64ad8d
wikipedia/sentence break,c4-standard-8-lssd,377.81,2026-06-01T22:28:00Z,f64ad8d
analysis/tokenize only (case sensitive),c4-standard-8-lssd,246.81,2026-06-01T22:28:00Z,f64ad8d
analysis/+ lowercase,c4-standard-8-lssd,203.88,2026-06-01T22:28:00Z,f64ad8d
analysis/+ stopword removal (English),c4-standard-8-lssd,139.95,2026-06-01T22:28:00Z,f64ad8d
analysis/+ stemming (English),c4-standard-8-lssd,84.36,2026-06-01T22:28:00Z,f64ad8d
analysis/full (max length + stopwords + stemming + ASCII fold),c4-standard-8-lssd,69.93,2026-06-01T22:28:00Z,f64ad8d
wikipedia/word break,c4d-standard-8-lssd,338.81,2026-06-01T22:28:00Z,f64ad8d
wikipedia/word break + word_like,c4d-standard-8-lssd,332.39,2026-06-01T22:28:00Z,f64ad8d
wikipedia/sentence break,c4d-standard-8-lssd,398.17,2026-06-01T22:28:00Z,f64ad8d
analysis/tokenize only (case sensitive),c4d-standard-8-lssd,274.84,2026-06-01T22:28:00Z,f64ad8d
analysis/+ lowercase,c4d-standard-8-lssd,225.56,2026-06-01T22:28:00Z,f64ad8d
analysis/+ stopword removal (English),c4d-standard-8-lssd,148.96,2026-06-01T22:28:00Z,f64ad8d
analysis/+ stemming (English),c4d-standard-8-lssd,95.72,2026-06-01T22:28:00Z,f64ad8d
analysis/full (max length + stopwords + stemming + ASCII fold),c4d-standard-8-lssd,78.92,2026-06-01T22:28:00Z,f64ad8d
wikipedia/word break,c4a-standard-8-lssd,365.23,2026-06-02T19:22:40Z,b8fae2d
wikipedia/word break + word_like,c4a-standard-8-lssd,335.17,2026-06-02T19:22:40Z,b8fae2d
wikipedia/sentence break,c4a-standard-8-lssd,324.98,2026-06-02T19:22:40Z,b8fae2d
analysis/tokenize only (case sensitive),c4a-standard-8-lssd,235.67,2026-06-02T19:22:40Z,b8fae2d
analysis/+ lowercase,c4a-standard-8-lssd,209.25,2026-06-02T19:22:40Z,b8fae2d
analysis/+ stopword removal (English),c4a-standard-8-lssd,187.16,2026-06-02T19:22:40Z,b8fae2d
analysis/+ stemming (English),c4a-standard-8-lssd,83.709,2026-06-02T19:22:40Z,b8fae2d
analysis/full (max length + stopwords + stemming + ASCII fold),c4a-standard-8-lssd,83.564,2026-06-02T19:22:40Z,b8fae2d
wikipedia/word break,c4d-standard-8-lssd,335.92,2026-06-02T19:22:40Z,b8fae2d
wikipedia/word break + word_like,c4d-standard-8-lssd,335.60,2026-06-02T19:22:40Z,b8fae2d
wikipedia/sentence break,c4d-standard-8-lssd,394.60,2026-06-02T19:22:40Z,b8fae2d
analysis/tokenize only (case sensitive),c4d-standard-8-lssd,273.35,2026-06-02T19:22:40Z,b8fae2d
analysis/+ lowercase,c4d-standard-8-lssd,238.46,2026-06-02T19:22:40Z,b8fae2d
analysis/+ stopword removal (English),c4d-standard-8-lssd,190.91,2026-06-02T19:22:40Z,b8fae2d
analysis/+ stemming (English),c4d-standard-8-lssd,96.585,2026-06-02T19:22:40Z,b8fae2d
analysis/full (max length + stopwords + stemming + ASCII fold),c4d-standard-8-lssd,92.522,2026-06-02T19:22:40Z,b8fae2d
wikipedia/word break,c4-standard-8-lssd,299.48,2026-06-02T19:22:40Z,b8fae2d
wikipedia/word break + word_like,c4-standard-8-lssd,294.37,2026-06-02T19:22:40Z,b8fae2d
wikipedia/sentence break,c4-standard-8-lssd,378.90,2026-06-02T19:22:40Z,b8fae2d
analysis/tokenize only (case sensitive),c4-standard-8-lssd,243.63,2026-06-02T19:22:40Z,b8fae2d
analysis/+ lowercase,c4-standard-8-lssd,218.13,2026-06-02T19:22:40Z,b8fae2d
analysis/+ stopword removal (English),c4-standard-8-lssd,180.33,2026-06-02T19:22:40Z,b8fae2d
analysis/+ stemming (English),c4-standard-8-lssd,84.615,2026-06-02T19:22:40Z,b8fae2d
analysis/full (max length + stopwords + stemming + ASCII fold),c4-standard-8-lssd,83.052,2026-06-02T19:22:40Z,b8fae2d
